GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
McCabe project,main.java.main,TokenList,105,86,13,7,0,0,10,11,2,9
McCabe project,main.java.main,Utils,0,169,5,19,0,0,5,9,0,2
McCabe project,main.java.main,Main,50,210,10,12,0,0,9,14,1,11
McCabe project,main.java.main,Metrics,59,133,17,7,0,0,14,7,2,7
McCabe project,main.java.main,Options,60,190,3,12,0,0,4,16,1,10
McCabe project,main.java.scanner,Scanner,263,1718,54,229,0,0,47,130,4,14
McCabe project,main.java.scanner,Token,0,23,0,0,0,0,0,2,0,2
McCabe project,main.java.scanner,CharReader,7,26,0,0,0,0,2,3,2,3
McCabe project,main.java.scanner,TokenEnum,0,1064,0,0,0,0,0,1,0,1
McCabe project,main.java.debug,Debug,10,188,10,24,0,0,10,18,0,11
McCabe project,main.java.debug,Categories,0,64,0,0,0,0,0,1,0,1
McCabe project,main.java.metrics,CountFiles,92,43,10,2,0,0,10,6,4,6
McCabe project,main.java.metrics,Packages,111,165,8,20,0,0,8,16,3,7
McCabe project,main.java.metrics,Mccabe,204,1231,27,143,0,0,28,83,8,18
McCabe project,main.java.metrics,SlocNode,0,16,0,0,0,0,0,1,0,1
McCabe project,main.java.metrics,Slocs,148,198,16,22,0,0,15,16,5,7
McCabe project,main.java.metrics,MccabeNode,0,37,0,0,0,0,0,6,0,6
McCabe project,main.java.metrics,Tests,153,83,13,9,0,0,13,9,5,6
